City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,50.0,71,0,13.8,clear sky
1,Kenai,US,60.5544,-151.2583,35.6,59,90,10.36,overcast clouds
2,Butaritari,KI,3.0707,172.7902,81.46,78,100,13.06,light rain
3,Amqui,CA,48.4638,-67.4313,42.8,81,20,8.05,few clouds
4,Bambous Virieux,MU,-20.3428,57.7575,80.01,88,75,12.66,light rain
5,Atuona,PF,-9.8,-139.0333,80.73,73,5,15.26,clear sky
6,Lagoa,PT,39.05,-27.9833,59.22,92,24,22.91,few clouds
7,Batagay,RU,67.6333,134.6333,1.58,86,61,1.21,broken clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,71.6,83,1,9.22,clear sky
9,Rikitea,PF,-23.1203,-134.9692,77.11,60,0,7.72,clear sky
10,Buraydah,SA,26.326,43.975,71.6,23,0,10.36,clear sky
11,Huarmey,PE,-10.0681,-78.1522,70.5,86,97,8.23,overcast clouds
12,Nantucket,US,41.2835,-70.0995,44.6,93,1,12.66,clear sky
13,Hermanus,ZA,-34.4187,19.2345,60.01,90,100,1.99,overcast clouds
14,Busselton,AU,-33.65,115.3333,62.01,83,33,1.99,scattered clouds
15,Smithers,CA,54.7804,-127.1743,39.2,52,75,9.22,broken clouds
16,Valvedditturai,LK,9.8167,80.1667,78.1,83,32,7.52,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,46.4,87,40,3.71,scattered clouds
18,Mataura,NZ,-46.1927,168.8643,63.0,66,11,5.01,few clouds
19,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.8,94,0,3.44,clear sky
20,Klaksvik,FO,62.2266,-6.589,35.6,100,90,23.02,overcast clouds
21,Zhigansk,RU,66.7697,123.3711,10.35,89,100,22.62,overcast clouds
22,Barrow,US,71.2906,-156.7887,-18.4,63,90,11.5,haze
23,Sur,OM,22.5667,59.5289,79.5,37,0,6.38,clear sky
24,Tuatapere,NZ,-46.1333,167.6833,63.0,66,15,5.01,few clouds
25,Hasaki,JP,35.7333,140.8333,59.0,87,40,4.61,scattered clouds
26,Bluff,NZ,-46.6,168.3333,63.0,66,17,5.01,few clouds
27,Pevek,RU,69.7008,170.3133,-13.38,93,79,4.47,broken clouds
28,Aginskoye,RU,51.1,114.53,46.96,39,10,5.57,clear sky
29,Lavrentiya,RU,65.5833,-171.0,-0.42,74,28,5.46,scattered clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,16,1.01,few clouds
31,Tezu,IN,27.9167,96.1667,77.83,33,87,1.48,overcast clouds
32,Cherskiy,RU,68.75,161.3,-0.49,87,100,4.18,overcast clouds
33,Saldanha,ZA,-33.0117,17.9442,59.0,88,4,4.61,clear sky
34,Kodiak,US,57.79,-152.4072,37.4,70,90,10.36,light snow
35,Tubarao,BR,-28.4667,-49.0069,66.58,88,2,3.04,clear sky
36,Vaini,TO,-21.2,-175.2,80.6,74,20,9.22,few clouds
37,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,82,40,15.12,scattered clouds
38,Jamestown,US,42.097,-79.2353,64.4,55,1,5.75,clear sky
39,Bengkulu,ID,-3.8004,102.2655,77.49,81,96,3.36,overcast clouds
40,Thompson,CA,55.7435,-97.8558,46.4,46,20,9.22,few clouds
41,Rabaul,PG,-4.1967,152.1721,78.24,89,100,18.61,moderate rain
42,Consett,GB,54.854,-1.8316,35.01,75,87,5.75,overcast clouds
43,Roma,US,43.2128,-75.4557,62.6,39,1,3.44,clear sky
44,Te Anau,NZ,-45.4167,167.7167,62.71,48,1,2.44,clear sky
45,Port Alfred,ZA,-33.5906,26.891,68.2,83,100,11.25,overcast clouds
46,Rawah,IQ,34.4816,41.9093,69.85,24,95,6.26,overcast clouds
47,Codrington,AU,-38.2667,141.9667,73.08,36,100,11.83,overcast clouds
48,Jijiga,ET,9.35,42.8,59.18,17,75,6.2,broken clouds
49,Kapaa,US,22.0752,-159.319,73.4,73,90,21.85,light rain
50,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,71,20,6.91,few clouds
51,New Ross,IE,52.3967,-6.9367,42.01,85,65,4.16,broken clouds
52,Carutapera,BR,-1.195,-46.02,77.61,88,93,5.32,overcast clouds
53,Castro,BR,-24.7911,-50.0119,57.67,95,6,9.13,clear sky
54,Kautokeino,NO,69.0125,23.0412,21.79,93,100,6.82,overcast clouds
55,Maniitsoq,GL,65.4167,-52.9,28.08,66,100,7.83,overcast clouds
56,Nikolskoye,RU,59.7035,30.7861,30.99,93,95,2.55,mist
57,Kuldur,RU,49.2167,131.6333,29.19,60,100,8.93,overcast clouds
58,Tilichiki,RU,60.4667,166.1,9.91,79,6,6.85,clear sky
59,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,11.5,clear sky
60,Grindavik,IS,63.8424,-22.4338,30.2,100,90,20.71,light snow
61,Portland,US,45.5234,-122.6762,52.0,66,90,6.91,overcast clouds
62,Voh,NC,-20.9667,164.7,85.66,54,99,9.24,overcast clouds
63,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,94,20,14.36,few clouds
64,Sinaloa,MX,25.0,-107.5,82.99,42,75,9.22,broken clouds
65,Taoudenni,ML,22.6783,-3.9836,84.2,15,2,9.24,clear sky
66,Aklavik,CA,68.2191,-135.0107,8.6,52,1,4.61,clear sky
67,Upernavik,GL,72.7868,-56.1549,-3.14,88,95,7.02,overcast clouds
68,Mahebourg,MU,-20.4081,57.7,77.0,88,75,12.66,light rain
69,Homer,US,59.6425,-151.5483,36.0,51,90,3.44,overcast clouds
70,Hobart,AU,-42.8794,147.3294,69.01,55,0,8.05,clear sky
71,Flinders,AU,-34.5833,150.8552,77.0,72,39,1.01,scattered clouds
72,Bubaque,GW,11.2833,-15.8333,77.52,78,20,12.44,few clouds
73,San Antonio,US,29.4241,-98.4936,90.0,15,1,10.36,clear sky
74,Seymchan,RU,62.8833,152.4333,5.68,81,51,4.16,broken clouds
75,College,US,64.8569,-147.8028,18.0,41,40,3.44,scattered clouds
76,Empangeni,ZA,-28.762,31.8933,64.51,92,53,4.0,broken clouds
77,San Pedro De Macoris,DO,18.4616,-69.2972,75.99,94,90,8.05,overcast clouds
78,Igrim,RU,63.1906,64.4162,31.42,95,100,5.21,overcast clouds
79,Taltal,CL,-25.4,-70.4833,68.32,76,100,3.29,overcast clouds
80,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,60,40,2.24,scattered clouds
81,Pangnirtung,CA,66.1451,-65.7125,30.04,95,100,9.06,snow
82,Namatanai,PG,-3.6667,152.4333,78.71,88,100,10.58,moderate rain
83,Saint Anthony,US,45.0205,-93.218,66.0,72,1,6.91,clear sky
84,Avarua,CK,-21.2078,-159.775,84.2,65,75,9.22,broken clouds
