City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Huarmey,-3.8004,102.2655,297.48,89,81,4.72,ID,2021-04-02 21:21:13
1,Huarmey,-42.7826,147.0587,290.37,59,0,4.63,AU,2021-04-02 21:21:14
2,Huarmey,22.2855,114.1577,297.04,83,0,1.79,HK,2021-04-02 21:21:14
3,Huarmey,-24.8667,113.6333,298.15,94,22,4.63,AU,2021-04-02 21:21:14
4,Huarmey,65.5833,-171.0,259.86,86,100,5.68,RU,2021-04-02 21:21:14
5,Huarmey,-23.1203,-134.9692,298.18,78,99,5.13,PF,2021-04-02 21:21:15
6,Huarmey,11.2833,-15.8333,297.66,79,0,9.04,GW,2021-04-02 21:21:15
7,Huarmey,-7.1911,-48.2072,298.48,86,32,1.23,BR,2021-04-02 21:21:15
8,Huarmey,47.5001,-120.5015,290.37,34,100,0.89,US,2021-04-02 21:21:15
9,Huarmey,5.4112,100.3354,302.04,94,20,1.54,MY,2021-04-02 21:16:56
10,Huarmey,41.2547,67.9692,281.29,42,7,4.14,KZ,2021-04-02 21:21:16
11,Huarmey,60.7522,-137.5108,270.15,36,98,2.57,CA,2021-04-02 21:21:16
12,Huarmey,42.6001,-73.9662,275.93,30,100,0.45,US,2021-04-02 21:19:44
13,Huarmey,65.6145,-37.6368,272.15,86,75,4.12,GL,2021-04-02 21:21:17
14,Huarmey,-53.15,-70.9167,282.15,76,100,2.06,CL,2021-04-02 21:16:54
15,Huarmey,41.3712,-73.414,273.71,46,100,1.34,US,2021-04-02 21:21:17
16,Huarmey,-33.9258,18.4232,290.93,67,0,3.09,ZA,2021-04-02 21:16:57
17,Huarmey,14.9167,120.55,296.15,78,40,1.03,PH,2021-04-02 21:21:18
18,Huarmey,73.5069,80.5464,245.86,84,96,2.15,RU,2021-04-02 21:21:05
19,Huarmey,-34.4187,19.2345,288.71,78,49,0.89,ZA,2021-04-02 21:21:19
20,Huarmey,-37.6167,-73.65,287.34,83,3,6.93,CL,2021-04-02 21:21:20
21,Huarmey,18.4167,-64.6167,300.15,69,75,5.66,VG,2021-04-02 21:21:20
22,Huarmey,57.79,-152.4072,276.15,30,40,1.54,US,2021-04-02 21:21:20
23,Huarmey,-16.4833,-151.75,300.62,70,0,0.97,PF,2021-04-02 21:21:21
24,Huarmey,-23.1333,150.7333,295.15,64,75,3.6,AU,2021-04-02 21:21:21
25,Huarmey,54.211,36.6229,273.15,100,83,1.0,RU,2021-04-02 21:21:21
26,Huarmey,33.194,-82.5271,286.15,21,1,4.12,US,2021-04-02 21:21:22
27,Huarmey,71.6872,128.8694,245.34,100,100,3.17,RU,2021-04-02 21:21:22
28,Huarmey,-33.8667,121.9,291.15,94,90,4.12,AU,2021-04-02 21:21:22
29,Huarmey,-33.65,115.3333,290.37,83,100,0.89,AU,2021-04-02 21:21:23
30,Huarmey,58.9303,46.7586,272.39,99,100,1.42,RU,2021-04-02 21:21:23
31,Huarmey,-9.8,-139.0333,300.1,80,23,6.02,PF,2021-04-02 21:21:15
32,Huarmey,42.097,-79.2353,275.37,34,1,7.2,US,2021-04-02 21:20:31
33,Huarmey,66.0449,-17.3389,279.15,52,0,11.32,IS,2021-04-02 21:21:24
34,Huarmey,66.1451,-65.7125,248.15,58,1,1.03,CA,2021-04-02 21:21:24
35,Huarmey,19.7297,-155.09,300.15,54,1,4.12,US,2021-04-02 21:21:24
36,Huarmey,-15.1961,12.1522,299.19,72,69,3.14,AO,2021-04-02 21:21:25
37,Huarmey,-22.9661,-42.0278,299.15,83,20,5.14,BR,2021-04-02 21:21:13
38,Huarmey,-42.8794,147.3294,290.37,59,0,4.63,AU,2021-04-02 21:21:25
39,Huarmey,50.6789,156.125,271.81,80,31,7.46,RU,2021-04-02 21:21:26
40,Huarmey,5.8933,95.3214,301.61,71,100,6.51,ID,2021-04-02 21:21:26
41,Huarmey,68.0531,39.5131,265.3,98,86,3.03,RU,2021-04-02 21:21:26
42,Huarmey,37.1041,-113.5841,302.04,11,1,1.54,US,2021-04-02 21:21:27
43,Huarmey,18.3851,42.4509,292.15,67,0,0.91,SA,2021-04-02 21:21:27
44,Huarmey,-34.5322,20.0403,283.15,93,32,2.06,ZA,2021-04-02 21:21:27
45,Huarmey,-23.943,31.1411,294.15,73,0,1.03,ZA,2021-04-02 21:21:28
